placeholder,full_name_or_entity
org_1,The Connecticut Senate
org_2,House
person_1,Bill 7162
org_3,the Connecticut Mirror
org_4,ProPublica
org_5,the House of Representatives
org_6,Senate
org_7,Transportation Committee Co
person_2,Christine Cohen
org_8,D-Guilford
person_3,Ned Lamont
group_1,Republican
person_4,Tony Hwang
org_9,the Transportation Committee
person_5,Hwang
place_1,Fairfield
place_2,Connecticut
org_10,CT Mirror
org_11,The Department of Motor Vehicles
person_6,Cohen
org_12,DMV
person_7,Timothy Vibert
org_13,Towing and Recovery Professionals of Connecticut
person_8,Vibert
person_9,Tony Guerrera
org_14,Guerrera
person_10,Melissa Anderson
place_3,Hamden
person_11,Anderson
person_12,Lamont
person_13,Rob Blanchard
